freq,unit,age,sex,geo,value,year
A,YR,Y_LT1,F,CH01,85.4,2012
A,YR,Y_LT1,F,CH01,85.5,2013
A,YR,Y_LT1,F,CH01,86.2,2014
A,YR,Y_LT1,F,CH01,85.6,2015
A,YR,Y_LT1,F,CH01,86.4,2016
A,YR,Y_LT1,F,CH01,85.9,2017
A,YR,Y_LT1,F,CH01,86.4,2018
A,YR,Y_LT1,F,CH01,86.6,2019
A,YR,Y_LT1,F,CH01,85.1,2020
A,YR,Y_LT1,F,CH01,86.9,2021
A,YR,Y_LT1,F,CH01,85.8,2022
A,YR,Y_LT1,F,CH01,86.6,2023
A,YR,Y_LT1,F,CH02,84.7,2012
A,YR,Y_LT1,F,CH02,84.8,2013
A,YR,Y_LT1,F,CH02,85,2014
A,YR,Y_LT1,F,CH02,84.8,2015
A,YR,Y_LT1,F,CH02,85,2016
A,YR,Y_LT1,F,CH02,85.1,2017
A,YR,Y_LT1,F,CH02,85.2,2018
A,YR,Y_LT1,F,CH02,85.4,2019
A,YR,Y_LT1,F,CH02,84.9,2020
A,YR,Y_LT1,F,CH02,85.4,2021
A,YR,Y_LT1,F,CH02,85,2022
A,YR,Y_LT1,F,CH02,85.5,2023
A,YR,Y_LT1,F,CH03,84.9,2012
A,YR,Y_LT1,F,CH03,84.9,2013
A,YR,Y_LT1,F,CH03,85.2,2014
A,YR,Y_LT1,F,CH03,84.8,2015
A,YR,Y_LT1,F,CH03,85.3,2016
A,YR,Y_LT1,F,CH03,85.4,2017
A,YR,Y_LT1,F,CH03,85.5,2018
A,YR,Y_LT1,F,CH03,85.7,2019
A,YR,Y_LT1,F,CH03,85.4,2020
A,YR,Y_LT1,F,CH03,85.7,2021
A,YR,Y_LT1,F,CH03,85.6,2022
A,YR,Y_LT1,F,CH03,85.8,2023
A,YR,Y_LT1,F,CH04,84.8,2012
A,YR,Y_LT1,F,CH04,84.7,2013
A,YR,Y_LT1,F,CH04,85.2,2014
A,YR,Y_LT1,F,CH04,85.2,2015
A,YR,Y_LT1,F,CH04,85.8,2016
A,YR,Y_LT1,F,CH04,85.7,2017
A,YR,Y_LT1,F,CH04,85.6,2018
A,YR,Y_LT1,F,CH04,85.7,2019
A,YR,Y_LT1,F,CH04,85.2,2020
A,YR,Y_LT1,F,CH04,85.6,2021
A,YR,Y_LT1,F,CH04,85.4,2022
A,YR,Y_LT1,F,CH04,86.1,2023
A,YR,Y_LT1,F,CH05,84.4,2012
A,YR,Y_LT1,F,CH05,84.8,2013
A,YR,Y_LT1,F,CH05,85,2014
A,YR,Y_LT1,F,CH05,84.9,2015
A,YR,Y_LT1,F,CH05,84.9,2016
A,YR,Y_LT1,F,CH05,85.7,2017
A,YR,Y_LT1,F,CH05,85.4,2018
A,YR,Y_LT1,F,CH05,85.5,2019
A,YR,Y_LT1,F,CH05,84.7,2020
A,YR,Y_LT1,F,CH05,85.2,2021
A,YR,Y_LT1,F,CH05,85.2,2022
A,YR,Y_LT1,F,CH05,85.8,2023
A,YR,Y_LT1,F,CH06,84.9,2012
A,YR,Y_LT1,F,CH06,85.2,2013
A,YR,Y_LT1,F,CH06,85.6,2014
A,YR,Y_LT1,F,CH06,85.2,2015
A,YR,Y_LT1,F,CH06,85.7,2016
A,YR,Y_LT1,F,CH06,86,2017
A,YR,Y_LT1,F,CH06,85.8,2018
A,YR,Y_LT1,F,CH06,86.2,2019
A,YR,Y_LT1,F,CH06,85.7,2020
A,YR,Y_LT1,F,CH06,85.7,2021
A,YR,Y_LT1,F,CH06,85.6,2022
A,YR,Y_LT1,F,CH06,86.4,2023
A,YR,Y_LT1,F,CH07,85.7,2012
A,YR,Y_LT1,F,CH07,86.4,2013
A,YR,Y_LT1,F,CH07,87.1,2014
A,YR,Y_LT1,F,CH07,85.7,2015
A,YR,Y_LT1,F,CH07,86.9,2016
A,YR,Y_LT1,F,CH07,86.7,2017
A,YR,Y_LT1,F,CH07,87.1,2018
A,YR,Y_LT1,F,CH07,86.9,2019
