nuts2_id,year,sex,pop
IE06,2020,F,1215621
IE06,2021,F,1233299
IE06,2022,F,1255810
IE06,2023,F,1282186
IS00,2000,F,139665
IS00,2001,F,141870
IS00,2002,F,143450
IS00,2003,F,144287
IS00,2004,F,145401
IS00,2005,F,147170
IS00,2006,F,151202
IS00,2007,F,156576
IS00,2008,F,160896
IS00,2009,F,162068
IS00,2010,F,159936
IS00,2011,F,160006
IS00,2012,F,160364
IS00,2013,F,161438
IS00,2014,F,163318
IS00,2015,F,165186
IS00,2016,F,167270
IS00,2017,F,171033
IS00,2018,F,177600
IS00,2019,F,182837
IS00,2020,F,186941
IS00,2021,F,189043
IS00,2022,F,193095
IS00,2023,F,199958
ITC1,2000,F,2040607
ITC1,2001,F,2037380
ITC1,2002,F,2033543
ITC1,2003,F,2038755
ITC1,2004,F,2059083
ITC1,2005,F,2071517
ITC1,2006,F,2077419
ITC1,2007,F,2082311
ITC1,2008,F,2106919
ITC1,2009,F,2122004
ITC1,2010,F,2127173
ITC1,2011,F,2130293
ITC1,2012,F,2133075
ITC1,2013,F,2138219
ITC1,2014,F,2136678
ITC1,2015,F,2128313
ITC1,2016,F,2121394
ITC1,2017,F,2118496
ITC1,2018,F,2111473
ITC1,2019,F,2103024
ITC1,2020,F,2095058
ITC1,2021,F,2079401
ITC1,2022,F,2073845
ITC1,2023,F,2072771
ITC2,2000,F,58309
ITC2,2001,F,58441
ITC2,2002,F,58483
ITC2,2003,F,59025
ITC2,2004,F,59687
ITC2,2005,F,60288
ITC2,2006,F,60728
ITC2,2007,F,61146
ITC2,2008,F,61615
ITC2,2009,F,62003
ITC2,2010,F,62122
ITC2,2011,F,62102
ITC2,2012,F,62064
ITC2,2013,F,62356
ITC2,2014,F,62437
ITC2,2015,F,62296
ITC2,2016,F,61887
ITC2,2017,F,61859
ITC2,2018,F,61752
ITC2,2019,F,61471
ITC2,2020,F,61121
ITC2,2021,F,60712
ITC2,2022,F,60413
ITC2,2023,F,60353
ITC3,2000,F,749100
ITC3,2001,F,744700
ITC3,2002,F,740224
ITC3,2003,F,739706
ITC3,2004,F,742468
ITC3,2005,F,746624
ITC3,2006,F,747391
ITC3,2007,F,747534
ITC3,2008,F,748643
ITC3,2009,F,751920
ITC3,2010,F,752999
ITC3,2011,F,753610
ITC3,2012,F,752759
ITC3,2013,F,752645
ITC3,2014,F,749989
ITC3,2015,F,745321
ITC3,2016,F,740864
ITC3,2017,F,739648
ITC3,2018,F,736461
ITC3,2019,F,733543
ITC3,2020,F,730371
ITC3,2021,F,728845
ITC3,2022,F,725821
ITC3,2023,F,726267
ITC4,2000,F,4340631
ITC4,2001,F,4358338
ITC4,2002,F,4374560
ITC4,2003,F,4400409
ITC4,2004,F,4451097
ITC4,2005,F,4520029
ITC4,2006,F,4556864
ITC4,2007,F,4586311
ITC4,2008,F,4630581
ITC4,2009,F,4672808
ITC4,2010,F,4703006
ITC4,2011,F,4736009
ITC4,2012,F,4768852
ITC4,2013,F,4808182
ITC4,2014,F,4839331
ITC4,2015,F,4852782
ITC4,2016,F,4858262
ITC4,2017,F,4868602
ITC4,2018,F,4883469
ITC4,2019,F,4902201
ITC4,2020,F,4912375
ITC4,2021,F,4895446
ITC4,2022,F,4881528
ITC4,2023,F,4900520
ITF1,2000,F,612164
ITF1,2001,F,612213
ITF1,2002,F,612447
ITF1,2003,F,615447
ITF1,2004,F,621092
ITF1,2005,F,625380
ITF1,2006,F,628106
ITF1,2007,F,630028
ITF1,2008,F,636556
ITF1,2009,F,641595
ITF1,2010,F,643591
ITF1,2011,F,645066
ITF1,2012,F,646514
ITF1,2013,F,647426
ITF1,2014,F,646427
ITF1,2015,F,644679
ITF1,2016,F,641647
ITF1,2017,F,639457
ITF1,2018,F,636732
ITF1,2019,F,635061
ITF1,2020,F,631743
ITF1,2021,F,625585
ITF1,2022,F,624162
ITF1,2023,F,622679
ITF2,2000,F,156952
ITF2,2001,F,156272
ITF2,2002,F,155675
ITF2,2003,F,155900
ITF2,2004,F,156009
ITF2,2005,F,155734
ITF2,2006,F,155140
ITF2,2007,F,154611
ITF2,2008,F,154693
ITF2,2009,F,154304
ITF2,2010,F,153849
ITF2,2011,F,153391
ITF2,2012,F,153012
ITF2,2013,F,152957
ITF2,2014,F,152851
ITF2,2015,F,152268
ITF2,2016,F,152098
ITF2,2017,F,151653
ITF2,2018,F,151231
ITF2,2019,F,149761
ITF2,2020,F,147953
ITF2,2021,F,144864
ITF2,2022,F,144013
ITF2,2023,F,143551
ITF3,2000,F,2789182
ITF3,2001,F,2783164
ITF3,2002,F,2777433
ITF3,2003,F,2778275
ITF3,2004,F,2788272
ITF3,2005,F,2798988
ITF3,2006,F,2799567
ITF3,2007,F,2799137
ITF3,2008,F,2806578
ITF3,2009,F,2808853
ITF3,2010,F,2816253
ITF3,2011,F,2823556
ITF3,2012,F,2825505
ITF3,2013,F,2822219
ITF3,2014,F,2819518
ITF3,2015,F,2817823
ITF3,2016,F,2815435
ITF3,2017,F,2811203
ITF3,2018,F,2808877
ITF3,2019,F,2799558
ITF3,2020,F,2784616
ITF3,2021,F,2739038
ITF3,2022,F,2747577
ITF3,2023,F,2739246
ITF4,2000,F,1960399
ITF4,2001,F,1954829
ITF4,2002,F,1951285
ITF4,2003,F,1953230
ITF4,2004,F,1958327
ITF4,2005,F,1964747
ITF4,2006,F,1967482
ITF4,2007,F,1969075
ITF4,2008,F,1974802
ITF4,2009,F,1978767
ITF4,2010,F,1983240
ITF4,2011,F,1988783
ITF4,2012,F,1989103
ITF4,2013,F,1983241
ITF4,2014,F,1976664
ITF4,2015,F,1970084
ITF4,2016,F,1962242
ITF4,2017,F,1954192
ITF4,2018,F,1944620
ITF4,2019,F,1934344
ITF4,2020,F,1923532
ITF4,2021,F,1913253
ITF4,2022,F,1910909
ITF4,2023,F,1904137
ITF5,2000,F,295827
ITF5,2001,F,294715
ITF5,2002,F,293421
ITF5,2003,F,292474
ITF5,2004,F,292128
ITF5,2005,F,291226
ITF5,2006,F,289690
ITF5,2007,F,287835
ITF5,2008,F,287206
ITF5,2009,F,286423
